country,date,Onset
Lithuania,2020-05-15,10.07007759456838
Lithuania,2020-05-16,9.822017458777886
Lithuania,2020-05-17,9.610814742967992
Lithuania,2020-05-18,9.282735208535403
Lithuania,2020-05-19,9.020611057225995
Lithuania,2020-05-20,8.390640155189137
Lithuania,2020-05-21,7.777643064985451
Lithuania,2020-05-22,7.053588748787585
Lithuania,2020-05-23,6.6738603297769155
Lithuania,2020-05-24,6.258729388942774
Lithuania,2020-05-25,6.0458292919495635
Lithuania,2020-05-26,5.795829291949564
Lithuania,2020-05-27,5.700775945683802
Lithuania,2020-05-28,5.67458777885548
Lithuania,2020-05-29,5.614451988360814
Lithuania,2020-05-30,5.571047526673133
Lithuania,2020-05-31,5.502182347235694
Lithuania,2020-06-01,5.601115421920465
Lithuania,2020-06-02,5.7342386032977695
Lithuania,2020-06-03,5.748302618816683
Lithuania,2020-06-04,5.721629485935985
Lithuania,2020-06-05,5.62439379243453
Lithuania,2020-06-06,5.279582929194957
Lithuania,2020-06-07,4.824442289039768
Lithuania,2020-06-08,4.402764306498545
Lithuania,2020-06-09,4.1382153249272555
Lithuania,2020-06-10,3.8263821532492726
Lithuania,2020-06-11,3.624878758486906
Lithuania,2020-06-12,3.373423860329777
Lithuania,2020-06-13,3.1711930164888456
Lithuania,2020-06-14,2.946411251212415
Lithuania,2020-06-15,2.7497575169738115
Lithuania,2020-06-16,2.7044131910766245
Lithuania,2020-06-17,2.6636760426770127
Lithuania,2020-06-18,2.686226964112512
Lithuania,2020-06-19,2.712657613967022
Lithuania,2020-06-20,2.7000484966052376
Lithuania,2020-06-21,2.7029582929194955
Lithuania,2020-06-22,2.76188166828322
Lithuania,2020-06-23,2.905674102812803
Lithuania,2020-06-24,3.1069350145489816
Lithuania,2020-06-25,3.267701260911736
Lithuania,2020-06-26,3.4170708050436467
Lithuania,2020-06-27,3.5904461687681866
Lithuania,2020-06-28,3.699563530552861
Lithuania,2020-06-29,3.8583899127061105
Lithuania,2020-06-30,4.195926285160039
Lithuania,2020-07-01,4.44568380213385
Lithuania,2020-07-02,4.599903006789525
Lithuania,2020-07-03,4.72890397672163
Lithuania,2020-07-04,4.933074684772066
Lithuania,2020-07-05,5.148157129000969
